2018 | 2019 | 2020 | 2021,No.,Cover,Title/Contents,Model,Lng*,Scale,2018,2019,2020,2021
11,https://static.wikia.nocookie.net/memoryalpha/images/9/99/Star_Trek_Discovery_Official_Starships_Collection_issue_11.jpg/revision/latest/scale-to-width-down/180?cb=20190125114331&path-prefix=en,"USS Shran NCC-1413
05/02/2019

Contents, p. 2
USS Shran NCC-1413 Specification, p. 3
USS Shran NCC-1413, pp. 4-9
Designing The Shran, pp. 10-14",https://static.wikia.nocookie.net/memoryalpha/images/7/7f/Eaglemoss_USS_Shran.jpg/revision/latest/scale-to-width-down/240?cb=20190217072033&path-prefix=en,135 mm,1:1668,,,,,
12,https://static.wikia.nocookie.net/memoryalpha/images/0/0e/Star_Trek_Discovery_Starships_Collection_issue_12.jpg/revision/latest/scale-to-width-down/180?cb=20190312161234&path-prefix=en,"USS Enterprise NCC-1701 [7]
15/03/2019

Contents, p. 2
USS Enterprise NCC-1701 Specification, p. 3
USS Enterprise NCC-1701, pp. 4-9
Designing The USS Enterprise, pp. 10-14",https://static.wikia.nocookie.net/memoryalpha/images/6/6b/Eaglemoss_USS_Enterprise_DIS.jpg/revision/latest/scale-to-width-down/240?cb=20190312225543&path-prefix=en,215 mm,1:2056,,,,,
13,https://static.wikia.nocookie.net/memoryalpha/images/b/be/Star_Trek_Discovery_Official_Starships_Collection_issue_13.jpg/revision/latest/scale-to-width-down/180?cb=20190309055306&path-prefix=en,"Worker bee
31/03/2019

Contents, p. 2
Worker Bee Specification, p. 3
Worker Bee, pp. 4-9
Designing The Worker Bee, pp. 10-14",https://static.wikia.nocookie.net/memoryalpha/images/6/62/Eaglemoss_Worker_Bee.jpg/revision/latest/scale-to-width-down/240?cb=20200322130428&path-prefix=en,175 mm,1:32,,,,,
14,https://static.wikia.nocookie.net/memoryalpha/images/1/13/Star_Trek_Discovery_Official_Starships_Collection_issue_14.jpg/revision/latest/scale-to-width-down/180?cb=20190419194814&path-prefix=en,"Klingon cleave ship
24/04/2019

Contents, p. 2
Klingon Cleave Ship Specification, p. 3
Klingon Cleave Ship, pp. 4-7
Designing The Klingon Cleave Ship, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/5/55/Eaglemoss_Klingon_Cleave_Ship.jpg/revision/latest/scale-to-width-down/240?cb=20200322130220&path-prefix=en,210 mm,1:4450,,,,,
15,https://static.wikia.nocookie.net/memoryalpha/images/5/54/Star_Trek_Discovery_Official_Starships_Collection_issue_15.jpg/revision/latest/scale-to-width-down/180?cb=20190524103823&path-prefix=en,"USS Edison NCC-1683
30/05/2019

Contents, p. 2
USS Edison NCC-1683 Specification, p. 3
USS Edison NCC-1683, pp. 4-7
Designing The USS Edison, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/9/9d/Eaglemoss_USS_Edison.jpg/revision/latest/scale-to-width-down/240?cb=20200322130641&path-prefix=en,140 mm,1:2545,,,,,
16,https://static.wikia.nocookie.net/memoryalpha/images/6/69/Star_Trek_Discovery_Official_Starships_Collection_issue_16.jpg/revision/latest/scale-to-width-down/180?cb=20190621113452&path-prefix=en,"The Festoon
24/06/2019

Contents, p. 2
The Festoon Specification, p. 3
The Festoon, pp. 4-7
Designing The Festoon, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/7/78/Eaglemoss_The_Festoon.jpg/revision/latest/scale-to-width-down/240?cb=20200322131418&path-prefix=en,180 mm,1:2157 [8],,,,,
17,https://static.wikia.nocookie.net/memoryalpha/images/2/2d/Star_Trek_Discovery_Official_Starships_Collection_issue_17.jpg/revision/latest/scale-to-width-down/180?cb=20190708123650&path-prefix=en,"USS T'Plana-Hath NCC-1004
31/07/2019

Contents, p. 2
USS T'Plana-Hath NCC-1004 Specification, p. 3
USS T'Plana-Hath NCC-1004, pp. 4-7
Designing The USS T'Plana-Hath, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/0/0b/Eaglemoss_USS_T%27Plana-Hath.jpg/revision/latest/scale-to-width-down/240?cb=20200322131209&path-prefix=en,159 mm,1:2439,,,,,
18,https://static.wikia.nocookie.net/memoryalpha/images/8/8c/Star_Trek_Discovery_Official_Starships_Collection_issue_18.jpg/revision/latest/scale-to-width-down/180?cb=20190823170438&path-prefix=en,"Klingon raider [9]
23/08/2019

Contents, p. 2
Klingon Raider Specification, p. 3
Klingon Raider, pp. 4-9
Designing The Klingon Raider, pp. 10-14",https://static.wikia.nocookie.net/memoryalpha/images/2/2e/Eaglemoss_Klingon_Raider.jpg/revision/latest/scale-to-width-down/240?cb=20200323002604&path-prefix=en,218 mm l×158 mm h,1:50 [10],,,,,
19,https://static.wikia.nocookie.net/memoryalpha/images/7/71/Star_Trek_Discovery_Official_Starships_Collection_issue_19.jpg/revision/latest/scale-to-width-down/180?cb=20190823164953&path-prefix=en,"Class C shuttlecraft (DSC 01)
17/09/2019

Contents, p. 2
Class C Shuttlecraft Specification, p. 3
Class C Shuttlecraft, pp. 4-9
Designing The Class C Shuttle, pp. 10-14",https://static.wikia.nocookie.net/memoryalpha/images/a/a5/Eaglemoss_Class_C_Shuttlecraft_DSC_01.jpg/revision/latest/scale-to-width-down/240?cb=20191208044204&path-prefix=en,210 mm,1:62,,,,,
20,https://static.wikia.nocookie.net/memoryalpha/images/e/e3/Star_Trek_Discovery_Official_Starships_Collection_issue_20.jpg/revision/latest/scale-to-width-down/180?cb=20190920115525&path-prefix=en,"USS Hiawatha NCC-815 [11]
21/10/2019

Contents, p. 2
USS Hiawatha NCC-1815 Specification, p. 3
USS Hiawatha NCC-1815, pp. 4-7
Designing The USS Hiawatha, pp. 8-14",https://static.wikia.nocookie.net/memoryalpha/images/f/fa/Eaglemoss_USS_Hiawatha.jpg/revision/latest/scale-to-width-down/240?cb=20200322125950&path-prefix=en,199 mm,1:3013 [12],,,,,
